_row,company_name,url,fit_state,fit_category,fit_evidence,evidence_urls,action
269,株式会社アイポケット沖縄,https://www.ipocket-okinawa.co.jp,web,Web制作会社,Webサイト制作 / Web制作 / ホームページ制作,https://www.ipocket-okinawa.co.jp/marketing-solution/ | https://www.ipocket-okinawa.co.jp/web/,appended_sheet1
270,株式会社パナセア,https://panaceaokinawa.com,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング / SNS広告,https://panaceaokinawa.com/,kept_sns
271,株式会社越山,https://etsuzan.co.jp,sns,SNS運用・SNS広告,SNS運用 / SNS広告 / SNS運用代行,https://etsuzan.co.jp/services/sns/ | https://etsuzan.co.jp/,kept_sns
272,株式会社Albaly,https://fukuoka-ai-lab.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告,https://fukuoka-ai-lab.com/services/sns/,kept_sns
273,株式会社 スタート・イノベーション,https://startinnovation.jp,sns,SNS運用・SNS広告,Instagram運用支援 / Instagram運用,https://startinnovation.jp/business/,kept_sns
274,株式会社ウツス,https://utsusu.jp,sns,SNS運用・SNS広告,SNS運用 / SNS広告,https://utsusu.jp/service.html,kept_sns
275,アイランド株式会社,https://www.ai-land.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.ai-land.co.jp/business,excluded_reference:company_name
276,株式会社LIVNO,https://www.livno.co.jp,sns,SNS運用・SNS広告,インスタ運用代行 / SNSマーケティング,https://www.livno.co.jp/instagram-lp | https://www.livno.co.jp/,kept_sns
277,株式会社lacks,https://lacks-japan.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用,https://lacks-japan.co.jp/sns/,kept_sns
278,スライムワークデザイン株式会社,https://slime-work.com,exclude,,,,excluded_service:official_service_unconfirmed
279,経営基盤支援センター株式会社,https://shiencenter.jp,marketing,Webマーケティング・広告,Webマーケティング / Web広告運用 / Web広告,https://shiencenter.jp/services/,appended_webmarketing
280,有限会社オリエントコーティング,https://www.orientcoating.jp,marketing,Webマーケティング・広告,販促支援 / Web広告,https://www.orientcoating.jp/service/,appended_webmarketing
281,合同会社Trash-B,https://www.trash-b.tech,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.trash-b.tech/service/,kept_sns
282,株式会社トリニアス,https://trinias.co.jp,sns,SNS運用・SNS広告,Instagram運用代行 / Instagram運用 / SNS運用,https://trinias.co.jp/service/sns/ | https://trinias.co.jp/service/,kept_sns
283,株式会社バックステージ,https://her-marketing.jp,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用,https://her-marketing.jp/ | https://her-marketing.jp/service/sns/,kept_sns
284,株式会社ファミライズ,https://familize.net,sns,SNS運用・SNS広告,SNSアカウント運用 / Instagram運用,https://familize.net/service/marutto,kept_sns
285,株式会社テスティファイ,https://testify.co.jp,marketing,Webマーケティング・広告,デジタルマーケティング / マーケティング支援 / 広告代理店,https://testify.co.jp/service/,appended_webmarketing
286,株式会社LASIQ,https://lasiq.biz,web,Web制作会社,Webサイト制作 / Web制作 / ECサイト制作,https://lasiq.biz/service/web-marketing/ | https://lasiq.biz/service/,appended_sheet1
287,株式会社週休3日,https://3kka.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://3kka.co.jp/dispatch_information_support/sns_operation_agency/,kept_sns
288,株式会社ロカリオ,https://localio.co.jp,sns,SNS運用・SNS広告,SNS広告,https://localio.co.jp/service/social/,kept_sns
289,株式会社オファシム,https://marketing-laboratory.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用支援 / SNS運用,https://marketing-laboratory.jp/service/second-opinion/ | https://marketing-laboratory.jp/service/management-decision/,excluded_reference:company_name
290,株式会社TIGER.E,https://tiger-e.co.jp,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用,https://tiger-e.co.jp/services.html,kept_sns
291,株式会社FIZ,https://fizjapan.com,exclude,,,,excluded_service:official_service_unconfirmed
292,有限会社ウエスト,https://web.tsukuredasu.com,sns,SNS運用・SNS広告,SNS広告,https://web.tsukuredasu.com/advertising/,kept_sns
293,株式会社Daysコンサルティング,https://days-consulting.com,exclude,,,,excluded_service:official_service_unconfirmed
294,株式会社 ASOLAB,https://asolab.co.jp,web,Web制作会社,ホームページ制作,https://asolab.co.jp/web-production/,appended_sheet1
295,株式会社MOLTS,https://moltsinc.co.jp,sns,SNS運用・SNS広告,SNS広告運用 / SNS広告,https://moltsinc.co.jp/service/digital/programmatic-ad/ | https://moltsinc.co.jp/service/,kept_sns
296,ワンバース株式会社,https://one-birth.co.jp,marketing,Webマーケティング・広告,Webマーケティング / デジタルマーケティング / Web広告,https://one-birth.co.jp/,appended_webmarketing
297,株式会社SoLabo,https://so-labo.co.jp,marketing,Webマーケティング・広告,Webマーケティング / SEO対策 / マーケティング支援,https://so-labo.co.jp/support/,appended_webmarketing
298,株式会社真摯,https://cinci.jp,marketing,Webマーケティング・広告,デジタルマーケティング / マーケティング支援 / Webマーケティング,https://cinci.jp/service | https://cinci.jp/service/content-marketing,appended_webmarketing
299,株式会社エムビズ,https://www.m-biz.biz,sns,SNS運用・SNS広告,SNS運用支援 / SNS運用 / SNSマーケティング,https://www.m-biz.biz/service/sns/ | https://www.m-biz.biz/service/marketing/,kept_sns
300,株式会社グリーンホワイト,https://www.greenw.co.jp,marketing,Webマーケティング・広告,プロモーション支援,https://www.greenw.co.jp/services,appended_webmarketing
301,合同会社経営採用戦略室,https://tokyo-legaloffice.com,exclude,,,,excluded_service:official_service_unconfirmed
302,テルウェル東日本株式会社,https://www.telwel-east.co.jp,web,Web制作会社,ホームページ制作 / ホームページ作成 / サイトリニューアル,https://www.telwel-east.co.jp/products/marketing/homepage/ | https://www.telwel-east.co.jp/products/marketing/,appended_sheet1
303,株式会社パラドックス,https://prdx.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
304,株式会社ブルーオーキッドコンサルティング,https://www.blueorchid.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
305,株式会社メディアスクエア,https://www.smartcross.jp,exclude,,,,excluded_service:official_service_unconfirmed
306,株式会社 PR現代,https://pr-g.jp,web,Web制作会社,ホームページ制作 / ウェブサイト制作 / Web制作,https://pr-g.jp/ | https://pr-g.jp/website/planning | https://pr-g.jp/promotion/event,appended_sheet1
307,株式会社イデア・レコード,https://idearecord.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
308,Location AI株式会社,https://location-ai.com,marketing,Webマーケティング・広告,集客支援 / 広告代理店,https://location-ai.com/service/jinryu-analytics-tourism/ | https://location-ai.com/service/,appended_webmarketing
309,合同会社NowNever,https://www.nownever.co.jp,web,Web制作会社,ホームページ制作 / コーポレートサイト制作 / LP制作,https://www.nownever.co.jp/,appended_sheet1
310,DUX株式会社,https://ff-group.jp,marketing,Webマーケティング・広告,マーケティング支援 / Webマーケティング / Web広告,https://ff-group.jp/,appended_webmarketing
311,株式会社LifeStyle,https://lstyle-group.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告,https://lstyle-group.com/service/sns/,kept_sns
312,株式会社リクステップ,https://recustep.com,web,Web制作会社,ホームページ制作 / LP制作 / Web制作,https://recustep.com/services/web-creative,appended_sheet1
313,株式会社グレイズ,https://glazestyle.com,web,Web制作会社,ホームページ制作 / ホームページ作成 / ウェブ制作,https://glazestyle.com/service/,appended_sheet1
314,株式会社メディアブレイン,https://www.media-b.com,web,Web制作会社,ホームページ制作 / ECサイト制作,https://www.media-b.com/business/ | https://www.media-b.com/service/,appended_sheet1
315,株式会社クリエイティブネットドア,https://www.cn-door.com,web,Web制作会社,ホームページ制作 / コーポレートサイト制作 / 採用サイト制作,https://www.cn-door.com/service/,appended_sheet1
316,アロン株式会社,https://alon3.co.jp,web,Web制作会社,ホームページ制作,https://alon3.co.jp/,appended_sheet1
317,株式会社 From,https://web-advance.co.jp,web,Web制作会社,ホームページ制作 / Web制作 / サイトリニューアル,https://web-advance.co.jp/service/ | https://web-advance.co.jp/,appended_sheet1
318,株式会社ダンドリデザイン,https://dandori-design.jp,exclude,,,,excluded_service:official_service_unconfirmed
319,株式会社トゥーワンラボ,https://to1-labo.com,sns,SNS運用・SNS広告,SNSマーケティング / SNSアカウント運用,https://to1-labo.com/service/ | https://to1-labo.com/,kept_sns
320,株式会社コミュニティコム,https://www.communitycom.jp,exclude,,,,excluded_service:official_service_unconfirmed
321,TAW株式会社,https://taw-digital.com,sns,SNS運用・SNS広告,LINE公式アカウント運用 / SNS運用代行 / SNS運用,https://taw-digital.com/lp/line/,kept_sns
322,株式会社C-farm,https://c-farm.info,sns,SNS運用・SNS広告,SNSマーケティング / SNS運用 / SNS広告,https://c-farm.info/sns-marketing/,kept_sns
323,株式会社ワンダーフォーサイト,https://wonderforesight.com,sns,SNS運用・SNS広告,TikTok運用代行 / TikTok運用 / SNS運用代行,https://wonderforesight.com/lp/,kept_sns
324,株式会社アイム,https://aimpost.jp,exclude,,,,excluded_service:official_service_unconfirmed
325,株式会社 D-motion,https://d-motion.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
326,株式会社アイ・エス・プライム,https://is-prime.co.jp,web,Web制作会社,ホームページ制作 / ECサイト制作 / ウェブサイト制作,https://is-prime.co.jp/web-production/ | https://is-prime.co.jp/products/web-analytics/,appended_sheet1
327,株式会社宿泊DXサポート,https://www.hotels-dx.jp,web,Web制作会社,ホームページ制作 / Web制作,https://www.hotels-dx.jp/service/,appended_sheet1
328,株式会社中小企業営業支援,https://ssfsme.com,marketing,Webマーケティング・広告,販促支援 / 広告代理店,https://ssfsme.com/business/hanro,appended_webmarketing
329,TIFFIN株式会社,https://www.tiffin.one,web,Web制作会社,ホームページ制作 / Web制作 / ECサイト制作,https://www.tiffin.one/services | https://www.tiffin.one/services/website | https://www.tiffin.one/services/ec-site,appended_sheet1
330,株式会社DEECH,https://deech.co.jp,marketing,Webマーケティング・広告,Web広告運用 / Web広告 / 集客支援,https://deech.co.jp/lp/erimake-kensyu/,appended_webmarketing
331,JetB株式会社,https://jetb.co.jp,web,Web制作会社,ホームページ制作 / Webサイト制作 / Web制作,https://jetb.co.jp/service,appended_sheet1
332,フリーザロックエージェント株式会社,https://freetherock.com,marketing,Webマーケティング・広告,広告代理店 / Web広告 / マーケティング支援,https://freetherock.com/ | https://freetherock.com/service/,appended_webmarketing
333,株式会社日広,https://www.nicco-kk.co.jp,sns,SNS運用・SNS広告,SNS広告運用 / SNS広告,https://www.nicco-kk.co.jp/service,excluded_reference:company_name
334,株式会社タカヨシ,https://www.takayoshi.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
335,株式会社サンクタス,https://sanktus.jp,web,Web制作会社,ホームページ制作 / Webサイト制作,https://sanktus.jp/,appended_sheet1
336,株式会社 東北ラーメンストリート,https://www.tohokuramenstreet.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://www.tohokuramenstreet.com/%E4%BA%8B%E6%A5%AD%E5%86%85%E5%AE%B9,kept_sns
337,株式会社スリーウェルマネジメント,https://www.threewell.co,exclude,,,,excluded_service:official_service_unconfirmed
338,株式会社エフェクチュアル,https://effectual.co.jp,marketing,Webマーケティング・広告,リスティング広告 / SEO対策,https://effectual.co.jp/sorila/service/ad-trust/,appended_webmarketing
339,株式会社スケットDG,https://be-suketto.net,web,Web制作会社,ホームページ制作 / Webサイト制作,https://be-suketto.net/lp_douganaisei,appended_sheet1
340,株式会社Vamola,https://www.vamola-corp.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.vamola-corp.com/service/,kept_sns
341,株式会社ミルトス,https://myrtos.info,marketing,Webマーケティング・広告,Webマーケティング / SEO対策,https://myrtos.info/web_marketing.html,appended_webmarketing
342,株式会社Helixia,https://helixia.co.jp,web,Web制作会社,ホームページ制作 / Web制作 / LP制作,https://helixia.co.jp/service | https://helixia.co.jp/,appended_sheet1
343,株式会社エムハンド,https://mh-sp.com,web,Web制作会社,ホームページ制作,https://mh-sp.com/service/,already_in_sheet1:company_name
344,株式会社ヘッドスプリング,https://head-spring.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
345,合同会社COLOR,https://www.nt-color.jp,sns,SNS運用・SNS広告,SNSマーケティング,https://www.nt-color.jp/service/,excluded_reference:company_name
346,株式会社サイバーエージェント,https://www.cyberagent.co.jp,review,,,,excluded_unverified:official_site_fetch_failed
347,株式会社コムマーケティング,https://comm-marketing.com,marketing,Webマーケティング・広告,デジタルマーケティング / Web広告 / 広告代理店,https://comm-marketing.com/service/ga4/ | https://comm-marketing.com/service/ad/,appended_webmarketing
348,アズ・マーケティング株式会社,https://az-mark.jp,sns,SNS運用・SNS広告,SNS広告 / SNS運用,https://az-mark.jp/service/web-marketing/ | https://az-mark.jp/service/,kept_sns
349,株式会社エンミッシュ,https://enmish.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
350,株式会社イーナチュラル,https://www.enatural.co.jp,web,Web制作会社,Web制作 / ホームページ制作,https://www.enatural.co.jp/ | https://www.enatural.co.jp/promotion/,appended_sheet1
351,株式会社イマジナ,https://www.imajina.com,sns,SNS運用・SNS広告,SNSマーケティング,https://www.imajina.com/business/performance/,kept_sns
352,株式会社フリークアウト・ホールディングス,https://www.uuum.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNSアカウント運用 / SNS運用,https://www.uuum.co.jp/service,kept_sns
353,株式会社ソウジ,https://soujiworks.com,web,Web制作会社,Web制作 / LP制作,https://soujiworks.com/service/,appended_sheet1
354,株式会社 アラモード,https://alm.co.jp,marketing,Webマーケティング・広告,リスティング広告運用 / リスティング広告 / 広告代理店,https://alm.co.jp/advertising/listing | https://alm.co.jp/advertising/live,appended_webmarketing
355,株式会社ベストエフォートマーケティング,https://besteffortmarketing.co.jp,sns,SNS運用・SNS広告,SNS運用支援 / SNS運用 / Instagram広告運用,https://besteffortmarketing.co.jp/web-marketing/ | https://besteffortmarketing.co.jp/,kept_sns
356,株式会社ifree,https://ifree.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNS広告,https://ifree.co.jp/home/sns-operation/ | https://ifree.co.jp/,kept_sns
357,有限会社メディコム・タカハシ,https://mc-t.net,exclude,,,,excluded_service:official_service_unconfirmed
358,株式会社 ZitzGen,https://zitzgen.com,marketing,Webマーケティング・広告,Webマーケティング / 広告代理店 / Web広告,https://zitzgen.com/outsourcing/marketing/ | https://zitzgen.com/,appended_webmarketing
359,株式会社昭文社,https://sp-mapple.jp,marketing,Webマーケティング・広告,Web広告,https://sp-mapple.jp/solution-service/web-advertisement/,appended_webmarketing
360,株式会社 TRADING,https://tradingsystem.co.jp,marketing,Webマーケティング・広告,集客支援 / Web広告 / マーケティング支援,https://tradingsystem.co.jp/service/sales-solution/ | https://tradingsystem.co.jp/service/partner/,appended_webmarketing
361,株式会社CS-C,https://s-cs-c.com,exclude,,,,excluded_service:official_service_unconfirmed
362,株式会社アレグビット,https://alegbit.co.jp,web,Web制作会社,ホームページ制作 / Web制作,https://alegbit.co.jp/,appended_sheet1
363,PREATE株式会社,https://preate.co.jp,web,Web制作会社,ホームページ制作 / Web制作,https://preate.co.jp/web-production/,appended_sheet1
364,株式会社 ICT事業部,https://ict.fuji-offset.co.jp,web,Web制作会社,ホームページ制作 / ホームページ作成,https://ict.fuji-offset.co.jp/ | https://ict.fuji-offset.co.jp/homepage-with-wix-ict,appended_sheet1
365,株式会社ドリームゲート,https://medicalfitness-navi.jp,marketing,Webマーケティング・広告,マーケティング支援 / Webマーケティング,https://medicalfitness-navi.jp/company/,appended_webmarketing
366,株式会社エフズフィールド,https://fsfield.jp,web,Web制作会社,ホームページ制作,https://fsfield.jp/service/,appended_sheet1
367,株式会社Magi,https://magimagi.jp,web,Web制作会社,ホームページ制作 / ホームページ作成,https://magimagi.jp/business/,appended_sheet1
368,有限会社スタイル,https://professionals.style-actus.com,exclude,,,,excluded_service:official_service_unconfirmed
369,オルグロー株式会社,https://www.allgrow.co.jp,web,Web制作会社,Webサイト制作 / Web制作,https://www.allgrow.co.jp/business/develop/ | https://www.allgrow.co.jp/business/,appended_sheet1
370,アークインベストメント株式会社,https://ark-inv.com,marketing,Webマーケティング・広告,販促支援,https://ark-inv.com/service/,appended_webmarketing
371,株式会社フォーセンス,https://www.4sense.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
372,山梨総合ビジネス株式会社,https://y-sb.com,web,Web制作会社,ホームページ制作 / ホームページ作成 / ウェブサイト制作,https://y-sb.com/web-design/,appended_sheet1
373,株式会社BEST,https://best-food.co.jp,web,Web制作会社,ホームページ制作 / ECサイト制作,https://best-food.co.jp/service/,appended_sheet1
374,株式会社全栄プロモーション,https://www.zenei-pro.jp,web,Web制作会社,Webサイト制作 / Web制作,https://www.zenei-pro.jp/service_advertising/,appended_sheet1
375,Ad株式会社,https://ad-inc.jp,web,Web制作会社,Webサイト制作 / ホームページ制作 / Web制作,https://ad-inc.jp/service | https://ad-inc.jp/,appended_sheet1
376,株式会社 リードコネクト,https://lead-connect.jp,exclude,,,,excluded_service:official_service_unconfirmed
377,株式会社ラビナス,https://labinas.jp,marketing,Webマーケティング・広告,集客支援,https://labinas.jp/,appended_webmarketing
378,株式会社グリッタープレイス,https://glpl.co.jp,web,Web制作会社,Webサイト制作 / コーポレートサイト制作 / ECサイト制作,https://glpl.co.jp/service/website/ | https://glpl.co.jp/service/,appended_sheet1
379,株式会社 女将塾,https://okamijuku.com,marketing,Webマーケティング・広告,Webマーケティング / 集客支援 / マーケティング支援,https://okamijuku.com/work/,appended_webmarketing
380,株式会社ホワイトカンパニー,https://white-co.jp,exclude,,,,excluded_service:official_service_unconfirmed
381,株式会社フューチャーリンク,https://www.futurelink.biz,exclude,,,,excluded_service:official_service_unconfirmed
382,株式会社ランリグ,https://runrig.jp,exclude,,,,excluded_service:official_service_unconfirmed
383,株式会社プライスレス,http://presidentfile.com,web,Web制作会社,ホームページ制作 / Web制作,http://presidentfile.com/industry/service/,appended_sheet1
384,有限会社インターネット企画,http://i-kikaku.co.jp,marketing,Webマーケティング・広告,集客支援,http://i-kikaku.co.jp/,appended_webmarketing
385,株式会社健富,https://www.kento-co-ltd.com,exclude,,,,excluded_service:official_service_unconfirmed
386,株式会社wave,https://gwave.jp,web,Web制作会社,ホームページ制作 / Web制作 / Webサイト制作,https://gwave.jp/web/ | https://gwave.jp/,appended_sheet1
387,株式会社ハイパークリエーション東京,https://hypercreation.tokyo,marketing,Webマーケティング・広告,Web集客支援 / 集客支援,https://hypercreation.tokyo/business/,appended_webmarketing
388,株式会社ユーモア,https://humor.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
389,株式会社 禾恵,https://nogie.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
390,カイロスマーケティング株式会社,https://www.kairosmarketing.net,marketing,Webマーケティング・広告,マーケティング支援,https://www.kairosmarketing.net/,appended_webmarketing
391,株式会社ラ・リューンドゥース,https://beauty-network-media.com,marketing,Webマーケティング・広告,販促支援 / マーケティング支援,https://beauty-network-media.com/,appended_webmarketing
392,ネント合同会社,https://nent.co.jp,web,Web制作会社,採用サイト制作 / Web制作,https://nent.co.jp/service/dental-recruit-site/,appended_sheet1
393,株式会社Medysis,https://medysis.co.jp,marketing,Webマーケティング・広告,Webマーケティング / マーケティング支援,https://medysis.co.jp/service,appended_webmarketing
394,株式会社MATCH,https://www.match.ne.jp,marketing,Webマーケティング・広告,集客支援,https://www.match.ne.jp/,appended_webmarketing
395,株式会社PKBソリューション,https://www.pkbsolution.co.jp,marketing,Webマーケティング・広告,デジタルマーケティング / 販促支援,https://www.pkbsolution.co.jp/blog-cat/service | https://www.pkbsolution.co.jp/service/releasenotes,appended_webmarketing
396,株式会社スタジオワンダー,https://studiowonder.jp,exclude,,,,excluded_service:official_service_unconfirmed
397,株式会社ライフブリッジ,https://www.lifebridge.jp,exclude,,,,excluded_service:official_service_unconfirmed
398,株式会社パルティード,https://partido.co.jp,marketing,Webマーケティング・広告,SEOコンサルティング / SEO対策 / マーケティング支援,https://partido.co.jp/services/ai-marketing/,appended_webmarketing
399,共栄印刷株式会社,https://kyoeiprinting.com,web,Web制作会社,Web制作,https://kyoeiprinting.com/service/,appended_sheet1
400,株式会社FID,https://f-i-d.jp,marketing,Webマーケティング・広告,集客支援 / Webマーケティング,https://f-i-d.jp/,appended_webmarketing
401,株式会社オンクリ,https://onkuri-web.com,web,Web制作会社,Web制作,https://onkuri-web.com/,appended_sheet1
402,hiqers株式会社,https://hiqers.jp,marketing,Webマーケティング・広告,Webマーケティング / Web広告運用 / Web広告,https://hiqers.jp/service/marketing/,appended_webmarketing
403,株式会社 オフィス・ブーン,https://www.office-boon.com,exclude,,,,excluded_service:official_service_unconfirmed
404,INPグループ合同会社,https://inp-group.p-kit.com,exclude,,,,excluded_service:official_service_unconfirmed
405,株式会社クロックアップ,https://www.qlockup.net,exclude,,,,excluded_service:official_service_unconfirmed
406,株式会社一向社,https://ikkosha.co.jp,web,Web制作会社,ホームページ制作,https://ikkosha.co.jp/service/web_design/,appended_sheet1
407,株式会社Chapstablook,https://chapstablook.jp,marketing,Webマーケティング・広告,Web広告 / マーケティング支援 / 広告代理店,https://chapstablook.jp/,appended_webmarketing
408,株式会社Ray,https://ray-web.co.jp,marketing,Webマーケティング・広告,Web広告,https://ray-web.co.jp/business/,appended_webmarketing
409,株式会社コンパス,https://u-compass.jp,exclude,,,,excluded_service:official_service_unconfirmed
410,株式会社Circle,https://reborn.circle-inc.co.jp,web,Web制作会社,ホームページ制作,https://reborn.circle-inc.co.jp/homepage/,already_in_sheet1:company_name
411,株式会社ROOM810,https://room810.jp,exclude,,,,excluded_service:official_service_unconfirmed
412,株式会社 テリーナテリーナ,https://tereena.jp,sns,SNS運用・SNS広告,SNS運用 / LINE公式アカウント運用 / SNS広告運用,https://tereena.jp/web,kept_sns
413,株式会社 弎画堂,https://service.sankaku-do.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
414,株式会社 Human,https://corporate.resocia.jp,marketing,Webマーケティング・広告,デジタルマーケティング / マーケティング支援,https://corporate.resocia.jp/solution,appended_webmarketing
415,株式会社フィルムリンク,https://www.filmlink.jp,exclude,,,,excluded_service:official_service_unconfirmed
416,Vat株式会社,https://office-vat.jp,web,Web制作会社,Web制作 / サイトリニューアル,https://office-vat.jp/,appended_sheet1
417,合同会社 マークス・ブランディング,https://marksbranding.com,web,Web制作会社,Web制作,https://marksbranding.com/service/,appended_sheet1
418,有限会社クロスリングウェイ,https://xoway.com,web,Web制作会社,ホームページ制作,https://xoway.com/service,appended_sheet1
419,株式会社メディカルネット,https://service.medical-net.com,web,Web制作会社,ホームページ制作 / ランディングページ制作,https://service.medical-net.com/service/ | https://service.medical-net.com/,already_in_sheet1:company_name
420,株式会社シーク,https://seek-consulting.jp,web,Web制作会社,ホームページ制作 / 採用サイト制作 / LP制作,https://seek-consulting.jp/service/,already_in_sheet1:company_name
421,株式会社みんぷろ,https://www.minpromotion.jp,web,Web制作会社,ウェブサイト制作 / LP制作 / ウェブ制作,https://www.minpromotion.jp/contents/,appended_sheet1
422,株式会社アキュレート,https://akyureto.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / Instagram運用,https://akyureto.com/service-sns/ | https://akyureto.com/services/,kept_sns
423,有限会社オータス,https://ohtas.jp,marketing,Webマーケティング・広告,Web広告 / リスティング広告,https://ohtas.jp/business/,appended_webmarketing
424,株式会社コードデザイン,https://codezz.net,exclude,,,,excluded_service:official_service_unconfirmed
425,株式会社エデュクリエーション,https://educreation.co.jp,web,Web制作会社,Web制作,https://educreation.co.jp/business,appended_sheet1
426,株式会社OWL,https://owl-inc.ne.jp,web,Web制作会社,ホームページ制作 / Web制作,https://owl-inc.ne.jp/,appended_sheet1
427,新光株式会社,https://shinko9868.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
428,irodori株式会社,https://www.irodori-create.jp,exclude,,,,excluded_service:official_service_unconfirmed
429,パラシュート株式会社,https://parachute.co.jp,marketing,Webマーケティング・広告,プロモーション支援 / 広告代理店,https://parachute.co.jp/service_category/promotion-support/ | https://parachute.co.jp/service/postalad/,appended_webmarketing
430,株式会社角川アスキー総合研究所,https://www.lab-kadokawa.com,web,Web制作会社,ウェブサイト制作,https://www.lab-kadokawa.com/business/group/,appended_sheet1
431,株式会社メディアクリエーションズ,https://media-creations.co.jp,web,Web制作会社,ホームページ制作,https://media-creations.co.jp/web/,appended_sheet1
432,株式会社MINUTES,https://www.msd-net.co.jp,web,Web制作会社,ホームページ制作 / LP制作,https://www.msd-net.co.jp/company/business/,appended_sheet1
433,SAIGATE株式会社,https://saigate.co.jp,sns,SNS運用・SNS広告,SNS運用 / Instagram運用代行 / Instagram運用,https://saigate.co.jp/service/,kept_sns
434,株式会社フェイス,https://www.faithad.jp,marketing,Webマーケティング・広告,Webマーケティング,https://www.faithad.jp/74067/homepage/,appended_webmarketing
435,ベルメディア株式会社,https://bellmedia.co.jp,marketing,Webマーケティング・広告,販促支援 / マーケティング支援 / 広告代理店,https://bellmedia.co.jp/service.html,appended_webmarketing
436,株式会社 野毛印刷社,https://www.noge.co.jp,web,Web制作会社,Web制作,https://www.noge.co.jp/service/,appended_sheet1
437,株式会社アドプラッツ,https://adplatz.com,web,Web制作会社,ホームページ制作 / ウェブ制作,https://adplatz.com/service/web/,appended_sheet1
438,合同会社 竜宮小宮,https://ryugu-komiya.jp,web,Web制作会社,ホームページ制作,https://ryugu-komiya.jp/web-design,appended_sheet1
439,株式会社TORIST,https://www.torist.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://www.torist.co.jp/service/,kept_sns
440,ルミノスタジオ株式会社,https://www.luminostudio.net,sns,SNS運用・SNS広告,SNS運用 / Instagram運用 / TikTok運用,https://www.luminostudio.net/services,kept_sns
441,アスピリアス株式会社,https://www.aspirias-home.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用 / SNSマーケティング,https://www.aspirias-home.com/sns,kept_sns
442,合同会社エイチワイ,https://hy-exad.com,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://hy-exad.com/website-work/,kept_sns
443,シャトルロックジャパン株式会社,https://www.shuttlerock.co.jp,sns,SNS運用・SNS広告,SNSマーケティング / SNSアカウント運用,https://www.shuttlerock.co.jp/,kept_sns
444,BUDDY株式会社,https://budby.co.jp,exclude,,,,excluded_service:official_service_unconfirmed
445,メディアライズ株式会社,https://rikusabu.jp,exclude,,,,excluded_service:official_service_unconfirmed
446,株式会社EDOPON,https://edopon.co.jp,sns,SNS運用・SNS広告,SNS運用代行 / SNS運用,https://edopon.co.jp/service/,kept_sns
447,日本採用システム株式会社,https://jrsys.jp,sns,SNS運用・SNS広告,SNS運用 / SNSマーケティング,https://jrsys.jp/sns-support/,kept_sns
448,株式会社COCOHARETE,https://coco-harete.com,exclude,,,,excluded_service:official_service_unconfirmed
449,株式会社ALUHA,https://btobmarketing.aluha.net,exclude,,,,excluded_service:official_service_unconfirmed
450,ONiWA株式会社,https://oniwa.co.jp,web,Web制作会社,Web制作 / Webサイト制作,https://oniwa.co.jp/business/,appended_sheet1
451,株式会社ノベルティ,https://ec.noveltyinc.jp,web,Web制作会社,ECサイト制作 / Webサイト制作 / LP制作,https://ec.noveltyinc.jp/service | https://ec.noveltyinc.jp/,excluded_reference:company_name
452,株式会社フォーバル,https://www.yokohama-dx.com,exclude,,,,excluded_service:official_service_unconfirmed
453,株式会社PR,https://www.hsc.or.jp,marketing,Webマーケティング・広告,マーケティング支援,https://www.hsc.or.jp/consul/marketing_support/,appended_webmarketing
454,株式会社 ドミナントモーション,https://jquerypicture.com,web,Web制作会社,ホームページ制作 / サイトリニューアル,https://jquerypicture.com/,appended_sheet1
